_best_bound,_dettime,_linear_nonzeros,_miprelgap,_n_iterations,_n_nodes_processed,_ncolumns,_problem_type,_quality_metrics,_solve_status,_solve_status_code,_time,binary_variables,constraints,cuts_BQP,cuts_GUB_cover,cuts_MIR,cuts_RLT,cuts_benders,cuts_clique,cuts_cover,cuts_disjunctive,cuts_flow_cover,cuts_flow_path,cuts_fractional,cuts_implied_bound,cuts_lift_and_project,cuts_local_implied_bound,cuts_multi_commodity_flow,cuts_solution_pool,cuts_table,cuts_user,cuts_zero_half,integer_variables,linear_relaxation,name,objective_value
36.21428571428572,110195.98975849152,6852,0.21273291925419574,585384,26132,370,MILP,{},time limit exceeded,107,60.0022759437561,360,1385,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7229,8,10,5.0,dr_bf_c:28n-68m-EON_30_9_16_0.5,46.0
52.0,1197.6427383422852,233430,0.0,168,0,4050,MILP,{},integer optimal solution,101,1.3458161354064941,2430,47625,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,1620,52.0,dr_bf_f:11n-52m-Pan-European-COST239_100_30_30_1.0,52.0
90.0,1550.659896850586,45350,0.0,6743,0,5150,MILP,{},integer optimal solution,101,2.234902858734131,5130,8429,0,0,79,0,0,183,385,0,2,0,31,0,0,0,54,0,0,0,242,20,28.81111111111111,dr_bf_m:22n-70m-British-telecom_10_1_62_0.2,90.0
22.0,26.51011562347412,2200,0.0,162,0,210,MILP,{},integer optimal solution,101,0.04027295112609863,110,500,0,0,15,0,0,0,18,0,16,0,15,5,0,0,5,0,0,0,4,100,8.35,dr_bf_f:6n-9m-n6s9_30_9_20_0.2,22.0
nan,74472.31790733337,2082257,nan,0,0,10990,MILP,{},"time limit exceeded, no integer solution",108,60.11521506309509,10850,418005,,,,,,,,,,,,,,,,,,,,140,69.99999999999997,dr_bf_c:24n-86m-UBN24_30_3_70_1.0,
27.0,137.9174346923828,9144,0.0,1468,0,1568,MILP,{},integer optimal solution,101,0.1520857810974121,1560,1726,0,0,12,0,0,32,115,0,4,0,27,0,0,0,25,0,0,0,50,8,12.75,dr_bf_m:24n-86m-UBN24_10_5_14_0.5,27.0
209.0,19061.28067970276,1378022,0.0,832,0,12934,MILP,{},integer optimal solution,101,23.063342809677124,12818,279241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,208.99999999999994,dr_bf_m:28n-82m-EURO28_100_10_58_1.0,209.0
12.0,19.25050163269043,2218,0.0,176,0,650,MILP,{},integer optimal solution,101,0.05229592323303223,646,357,0,0,3,0,0,19,19,0,0,0,10,0,0,0,21,0,0,0,8,4,3.8888888888888884,dr_bf_m:14n-46m-Generic-Deutsche-Telekom-DT_10_5_12_0.2,12.0
27.0,95.37370681762695,32748,0.0,64,0,1260,MILP,{},integer optimal solution,101,0.0972740650177002,1236,6894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27.0,dr_bf_m:15n-46m-NSF_10_5_12_1.0,27.0
20.0,137.5696039199829,3872,0.0,702,170,182,MILP,{},integer optimal solution,101,0.10437607765197754,168,798,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,98,12,14,7.0,dr_bf_c:6n-9m-n6s9_10_3_20_0.5,20.0
nan,21072.261428833008,2683763,nan,0,0,3315,MILP,{},"time limit exceeded, no integer solution",108,60.13188695907593,,671520,,,,,,,,,,,,,,,,,,,,,59.0,ds_bf_f:28n-82m-EURO28_30_3_58_0.5,
36.0,615.3345994949341,35958,0.0,1726,0,3914,MILP,{},integer optimal solution,101,0.7819621562957764,3902,7051,0,0,6,0,0,27,93,0,1,0,24,0,0,0,24,0,0,0,45,12,24.166666666666664,dr_bf_m:43n-176m-EuroLarge_10_5_16_0.5,36.0
nan,80718.85145378113,1645218,nan,0,0,9588,MILP,{},"time limit exceeded, no integer solution",108,60.01491904258728,9452,330514,,,,,,,,,,,,,,,,,,,,136,67.99999999999996,dr_bf_c:21n-72m-Italian_10_1_68_1.0,
19.0,36.00233459472656,3894,0.0,275,0,760,MILP,{},integer optimal solution,101,0.037687063217163086,754,845,0,0,3,0,0,26,34,0,0,0,0,0,0,0,11,0,0,0,16,6,13.25,dr_bf_m:28n-68m-EON_10_5_8_0.5,19.0
27.0,106.9658555984497,3462,0.0,701,0,504,MILP,{},integer optimal solution,101,0.09910917282104492,252,831,0,0,25,0,0,6,9,0,29,3,14,6,0,0,7,0,0,0,63,252,13.25,dr_bf_f:28n-82m-EURO28_30_15_10_0.2,27.0
154.0,5166.258407592773,1520244,0.0,850,0,13662,MILP,{},integer optimal solution,101,8.705811977386475,,456588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,154.00000000000006,dr_aov_m:21n-70m-SpanishTelefonica_10_1_66_1.0,154.0
25.0,102086.74713516235,11778,0.0,844636,48654,510,MILP,{},integer optimal solution,101,53.658249855041504,498,2373,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2397,7,12,6.0,dr_bf_c:21n-78m-UKNet_10_5_14_0.5,25.0
80.0,927.3340435028076,39726,0.0,7315,0,5340,MILP,{},integer optimal solution,101,1.1714909076690674,,9594,0,0,82,0,0,254,478,0,4,0,25,3,0,0,0,0,0,0,279,,25.377777777777773,dr_aov_m:21n-70m-SpanishTelefonica_30_3_66_0.2,80.0
34.0,15471.96897983551,71270,0.0,14698,1928,1302,MILP,{},integer optimal solution,101,7.977273941040039,1274,14329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,923,17,28,14.0,dr_bf_c:20n-78m-EON20_30_15_14_1.0,34.0
58.0,713.0259304046631,131742,0.0,156,0,3294,MILP,{},integer optimal solution,101,0.6524331569671631,1782,27261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,58.0,dr_bf_f:28n-82m-EURO28_30_9_18_1.0,58.0
52.0,1472.5133657455444,255658,0.0,136,0,4654,MILP,{},integer optimal solution,101,1.4366421699523926,2626,52247,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2028,52.0,dr_bf_f:19n-76m-EON19_100_30_26_1.0,52.0
50.0,716.4398975372314,83314,0.019607843137216453,265,0,2618,MILP,{},integer optimal solution,101,1.405351161956787,1386,17311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,50.0,dr_bf_f:24n-86m-UBN24_10_5_14_1.0,51.0
121.00000000000001,25178.7190656662,3570168,0.039682539682508074,6758,0,6741,MILP,{},time limit exceeded,107,60.331971883773804,,894033,0,0,52,0,0,104,495,0,2,0,60,0,0,0,0,0,0,0,200,,66.75,ds_acc_m:21n-70m-SpanishTelefonica_30_3_66_0.5,126.0
59.0,1332.6537370681763,255658,0.0,185,0,4654,MILP,{},integer optimal solution,101,1.3984107971191406,4602,52247,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,52,59.0,dr_bf_m:19n-76m-EON19_10_3_26_1.0,59.0
33.0,213.00125312805176,40310,0.0,114,0,1750,MILP,{},integer optimal solution,101,0.2228391170501709,1730,8545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33.0,dr_bf_m:28n-82m-EURO28_10_5_10_1.0,33.0
