_quality_metrics,cuts_solution_pool,name,cuts_MIR,cuts_disjunctive,cuts_implied_bound,cuts_fractional,cuts_lift_and_project,cuts_GUB_cover,cuts_clique,cuts_flow_path,cuts_cover,_n_iterations,variables_user,variables,_n_nodes_processed,cuts_RLT,_dettime,_best_bound,cuts_zero_half,variables_integer,_miprelgap,cuts_benders,_solve_status,linear_relaxation,exception,cuts_user,cuts_flow_cover,cuts_local_implied_bound,variables_binary,_linear_nonzeros,cuts_table,_ncolumns,_solve_status_code,constraints,_time,_problem_type,variables_continuous,cuts_multi_commodity_flow,cuts_BQP,objective_value
{},0,dr_aov_m:28n-68m-EON_10_5_8_1.0,0,0,0,0,0,0,0,0,0,101,1160,1160,0,0,56.03547763824463,36.0,0,16,0.0,0,integer optimal solution,36.0,,0,0,0,1144,21248,0,1160,101,6496,0.07318902015686035,MILP,0,0,0,36.0
{},0,dr_bf_m:24n-86m-UBN24_30_3_70_0.2,65,0,2,23,0,0,275,0,501,8942,6990,6990,0,0,1640.994026184082,97.0,167,20,0.0,0,integer optimal solution,29.0734126984127,,0,6,0,6970,57750,0,6990,101,10345,2.17059588432312,MILP,0,80,0,97.0
{},0,dr_bf_f:24n-86m-UBN24_30_3_70_0.2,266,0,8,36,29,2,0,11,137,117293,1830,1830,2913,0,7324.018218040466,97.0,59,880,0.0,0,integer optimal solution,29.073412698412703,,0,349,0,950,42270,0,1830,101,8905,10.507626056671143,MILP,0,0,0,97.0
{},0,dr_ob_m:10n-44m-SmallNet_30_3_86_0.5,81,0,0,48,0,0,69,0,461,5720,5901,5901,0,0,5735.83021736145,100.0,219,29,0.0,0,integer optimal solution,54.49999999999999,,0,11,0,5872,192138,0,5901,101,38328,6.103502988815308,MILP,0,0,0,100.0
{},0,dr_aov_m:20n-78m-EON20_30_9_26_1.0,0,0,0,0,0,0,0,0,0,188,4758,4758,0,0,745.682596206665,60.0,0,52,0.0,0,integer optimal solution,60.0,,0,0,0,4706,261716,0,4758,101,78650,0.9672269821166992,MILP,0,0,0,60.0
{},0,dr_aov_m:6n-9m-n6s9_10_3_20_1.0,0,0,10,2,0,0,0,0,0,118,1140,1140,0,0,97.71288204193115,29.0,2,40,0.0,0,integer optimal solution,29.0,,0,0,0,1100,35720,0,1140,101,10780,0.1946718692779541,MILP,0,0,0,29.0
{},0,dr_aov_m:16n-46m-EURO_100_30_18_1.0,0,0,0,0,0,0,0,0,0,140,1998,1998,0,0,196.2058277130127,46.0,0,36,0.0,0,integer optimal solution,46.0,,0,0,0,1962,73764,0,1998,101,22266,0.2386629581451416,MILP,0,0,0,46.0
{},0,dr_bf_m:28n-82m-EURO28_30_3_58_0.2,78,0,0,36,0,0,358,0,393,6691,5484,5484,0,0,1012.4615831375122,95.0,214,16,0.0,0,integer optimal solution,31.522222222222226,,0,2,0,5468,37972,0,5484,101,6916,1.280911922454834,MILP,0,49,0,95.0
{},0,dr_aov_m:28n-82m-EURO28_10_3_18_0.5,8,0,3,37,0,0,65,0,116,1561,2010,2010,0,0,151.8211784362793,41.0,78,12,0.0,0,integer optimal solution,20.5,,0,5,0,1998,17244,0,2010,101,4698,0.2052609920501709,MILP,0,40,0,41.0
{},0,dr_bf_m:11n-52m-Pan-European-COST239_10_1_94_0.2,92,0,0,21,0,0,135,0,632,8961,5992,5992,0,0,2140.4651136398315,97.0,318,32,0.0,0,integer optimal solution,25.16111111111111,,0,2,0,5960,78200,0,5992,101,14498,3.641481876373291,MILP,0,0,0,97.0
{},0,dr_ob_m:43n-176m-EuroLarge_10_3_26_0.2,114,0,12,25,4,0,158,0,363,13628,5481,5481,0,0,2026.0565280914307,52.0,170,5,0.0,0,integer optimal solution,19.866666666666667,,0,4,0,5476,32238,0,5481,101,5538,2.884753942489624,MILP,0,45,0,52.0
{},0,dr_aov_f:14n-42m-NSF_100_10_60_0.5,123,0,14,57,7,0,0,2,56,6106,2226,2226,119,0,2230.974542617798,91.0,147,924,0.0,0,integer optimal solution,43.33333333333333,,0,145,0,1302,91812,0,2226,101,27678,4.847415924072266,MILP,0,0,0,91.0
{},0,dr_bf_m:16n-46m-EURO_100_50_10_0.5,0,0,0,12,0,0,14,0,14,354,610,610,0,0,22.06253433227539,18.0,4,6,0.0,0,integer optimal solution,10.25,,0,0,0,604,2916,0,610,101,583,0.038897037506103516,MILP,0,12,0,18.0
{},0,dr_aov_f:15n-46m-NSF_10_3_20_1.0,0,0,0,0,0,0,0,0,0,143,2260,2260,0,0,226.09114265441895,44.0,0,960,0.0,0,integer optimal solution,44.0,,0,0,0,1300,91160,0,2260,101,27480,0.3174610137939453,MILP,0,0,0,44.0
{},0,dr_aov_f:28n-68m-EON_30_3_48_0.5,142,0,24,25,22,2,12,5,19,5818,2448,2448,0,0,2092.218530654907,115.0,271,1120,0.0,0,integer optimal solution,57.16666666666667,,0,91,0,1328,86016,0,2448,101,26048,3.3379039764404297,MILP,0,0,0,115.0
{},0,dr_ob_f:20n-62m-ARPANet_10_3_20_0.5,74,0,1,6,19,3,3,2,20,2318,780,780,0,0,473.522967338562,41.0,95,378,0.0,0,integer optimal solution,17.5,,0,43,0,402,10830,0,780,101,2379,0.6942460536956787,MILP,0,24,0,41.0
{},0,dr_ob_m:14n-42m-NSF_10_1_60_1.0,0,0,0,0,0,0,0,0,0,498,8640,8640,0,0,11318.141847610474,133.0,1,60,0.0,0,integer optimal solution,133.0,,0,0,0,8580,757140,0,8640,101,153930,13.150847911834717,MILP,0,0,0,133.0
{},0,dr_ob_f:10n-44m-SmallNet_10_5_16_0.5,12,0,0,20,0,0,0,0,14,186,665,665,0,0,99.22442245483398,21.0,19,315,0.0,0,integer optimal solution,10.583333333333332,,0,38,0,350,10528,0,665,101,2261,0.1277458667755127,MILP,0,25,0,21.0
